,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
216,0.9022,0.1163,0.9964,0.024,129.0,32.0,0.001,0.012915496650148827
217,0.9253,0.0936,1.0009,0.0196,129.0,32.0,0.0004641588833612782,0.012915496650148827
218,0.9967,0.0237,1.0033,0.0172,129.0,32.0,0.00021544346900318845,0.012915496650148827
219,0.952,0.0674,1.0046,0.016,129.0,32.0,0.0001,0.012915496650148827
220,1.0211,-0.0002,0.9623,0.0574,129.0,32.0,0.5,0.03593813663804626
221,0.88,0.1381,0.967,0.0528,129.0,32.0,0.1,0.03593813663804626
222,0.8804,0.1376,0.9683,0.0515,129.0,32.0,0.046415888336127795,0.03593813663804626
223,0.8849,0.1332,0.9709,0.0489,129.0,32.0,0.021544346900318846,0.03593813663804626
224,0.8803,0.1377,0.9792,0.0409,129.0,32.0,0.01,0.03593813663804626
225,0.8812,0.1368,0.9944,0.026,129.0,32.0,0.004641588833612782,0.03593813663804626
226,0.8893,0.1289,1.0007,0.0198,129.0,32.0,0.0021544346900318843,0.03593813663804626
227,0.9168,0.102,1.0027,0.0179,129.0,32.0,0.001,0.03593813663804626
228,0.9463,0.0731,1.0035,0.017,129.0,32.0,0.0004641588833612782,0.03593813663804626
229,0.9277,0.0913,1.0043,0.0163,129.0,32.0,0.00021544346900318845,0.03593813663804626
230,1.0019,0.0186,1.0049,0.0156,129.0,32.0,0.0001,0.03593813663804626
231,1.0338,-0.0127,0.9991,0.0214,129.0,32.0,0.5,0.1
232,0.8793,0.1387,1.0002,0.0203,129.0,32.0,0.1,0.1
233,0.8827,0.1353,1.0012,0.0193,129.0,32.0,0.046415888336127795,0.1
234,0.8857,0.1325,1.0038,0.0168,129.0,32.0,0.021544346900318846,0.1
235,0.8914,0.1268,1.0082,0.0125,129.0,32.0,0.01,0.1
236,0.8965,0.1219,1.0101,0.0106,129.0,32.0,0.004641588833612782,0.1
237,0.9152,0.1035,1.01,0.0107,129.0,32.0,0.0021544346900318843,0.1
238,0.9357,0.0835,1.009,0.0117,129.0,32.0,0.001,0.1
239,0.9396,0.0796,1.0076,0.013,129.0,32.0,0.0004641588833612782,0.1
240,0.9994,0.0211,1.0065,0.0142,129.0,32.0,0.00021544346900318845,0.1
241,0.9515,0.0679,1.0059,0.0147,129.0,32.0,0.0001,0.1
242,0.8486,0.1688,0.7071,0.3074,257.0,64.0,0.5,0.0
243,0.766,0.2497,0.7587,0.2569,257.0,64.0,0.1,0.0
244,0.8497,0.1677,0.7929,0.2233,257.0,64.0,0.046415888336127795,0.0
245,0.8782,0.1398,0.8176,0.1991,257.0,64.0,0.021544346900318846,0.0
246,0.878,0.14,0.8366,0.1806,257.0,64.0,0.01,0.0
247,0.8769,0.1411,0.8582,0.1594,257.0,64.0,0.004641588833612782,0.0
248,0.8848,0.1333,0.9,0.1185,257.0,64.0,0.0021544346900318843,0.0
249,0.9197,0.0991,1.1285,-0.1054,257.0,64.0,0.001,0.0
250,0.9177,0.1011,1.3883,-0.3599,257.0,64.0,0.0004641588833612782,0.0
251,0.9756,0.0444,1.4567,-0.4269,257.0,64.0,0.00021544346900318845,0.0
252,0.9764,0.0436,1.489,-0.4585,257.0,64.0,0.0001,0.0
253,1.0242,-0.0032,0.7071,0.3073,257.0,64.0,0.5,1e-05
254,0.6804,0.3335,0.7587,0.2568,257.0,64.0,0.1,1e-05
255,0.9399,0.0793,0.7929,0.2233,257.0,64.0,0.046415888336127795,1e-05
256,0.8741,0.1438,0.8176,0.1992,257.0,64.0,0.021544346900318846,1e-05
257,0.8779,0.14,0.8366,0.1806,257.0,64.0,0.01,1e-05
258,0.8784,0.1396,0.8582,0.1594,257.0,64.0,0.004641588833612782,1e-05
259,0.8847,0.1334,0.8999,0.1185,257.0,64.0,0.0021544346900318843,1e-05
260,0.904,0.1145,1.1274,-0.1043,257.0,64.0,0.001,1e-05
261,1.0035,0.017,1.3881,-0.3596,257.0,64.0,0.0004641588833612782,1e-05
262,0.9211,0.0978,1.4566,-0.4267,257.0,64.0,0.00021544346900318845,1e-05
263,0.9664,0.0534,1.4889,-0.4584,257.0,64.0,0.0001,1e-05
264,1.0214,-0.0005,0.7072,0.3073,257.0,64.0,0.5,2.782559402207126e-05
265,0.7743,0.2416,0.7588,0.2568,257.0,64.0,0.1,2.782559402207126e-05
266,0.8668,0.151,0.7929,0.2233,257.0,64.0,0.046415888336127795,2.782559402207126e-05
267,0.8899,0.1283,0.8176,0.1992,257.0,64.0,0.021544346900318846,2.782559402207126e-05
268,0.8799,0.1381,0.8365,0.1806,257.0,64.0,0.01,2.782559402207126e-05
269,0.8772,0.1408,0.8582,0.1594,257.0,64.0,0.004641588833612782,2.782559402207126e-05
270,0.8869,0.1313,0.8999,0.1186,257.0,64.0,0.0021544346900318843,2.782559402207126e-05
271,0.9082,0.1104,1.1255,-0.1025,257.0,64.0,0.001,2.782559402207126e-05
272,0.9709,0.049,1.3876,-0.3591,257.0,64.0,0.0004641588833612782,2.782559402207126e-05
273,0.9796,0.0405,1.4564,-0.4265,257.0,64.0,0.00021544346900318845,2.782559402207126e-05
274,1.008,0.0126,1.4888,-0.4583,257.0,64.0,0.0001,2.782559402207126e-05
275,1.0269,-0.0059,0.7074,0.3071,257.0,64.0,0.5,7.742636826811278e-05
276,0.6582,0.3552,0.7589,0.2566,257.0,64.0,0.1,7.742636826811278e-05
277,0.8415,0.1757,0.7929,0.2233,257.0,64.0,0.046415888336127795,7.742636826811278e-05
278,0.8761,0.1419,0.8175,0.1993,257.0,64.0,0.021544346900318846,7.742636826811278e-05
279,0.8771,0.1409,0.8365,0.1806,257.0,64.0,0.01,7.742636826811278e-05
280,0.8775,0.1405,0.8582,0.1594,257.0,64.0,0.004641588833612782,7.742636826811278e-05
281,0.8818,0.1363,0.8997,0.1187,257.0,64.0,0.0021544346900318843,7.742636826811278e-05
